"OPDIV","CFDA Number","CFDA Program Title","Award Number","Award Title","Action Date","Recipient Name","City","Approp Code","Award Amount","Country_code_2","Country","Type","Class"
"CDC",93.067,"Global AIDS","NU2GGH002280","Strengthening the Government of Uganda's Capacity for Regionally Centered and District Implemented HIV and TB Programming through HIS, CBS, M&E and QI support","11/18/2020","MAKERERE UNIVERSITY SCHOOL OF PUBLIC HEALTH","KAMPALA","CV",0,"UG","Uganda","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001924","Reinforcing Capacity at Two Centers of Excellence to Sustain the Delivery of Comprehensive HIV Clinical Services in Haiti under the President?s Emergency Plan for AIDS Relief (PEPFAR)","11/18/2020","Les Centres GHESKIO","PORT-AU-PRINCE","CV",0,"HT","Haiti","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002249","Advancing infectious disease and response in Senegal","11/17/2020","INSTITUT PASTEUR DE DAKAR","DAKAR","CV",0,"SN","Senegal","Research Institution, Foundation and Laboratory","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002034","GH16-1620:Supporting the Implementation and Expansion of High Quality, Sustainable and Comprehensive HIV Prevention, Care and Treatment Programs in Faith-Based Organization Facilities","11/16/2020","Christian Health Assciation  of Kenya","NAIROBI","CV",0,"KE","Kenya","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001924","Reinforcing Capacity at Two Centers of Excellence to Sustain the Delivery of Comprehensive HIV Clinical Services in Haiti under the President?s Emergency Plan for AIDS Relief (PEPFAR)","11/16/2020","Les Centres GHESKIO","PORT-AU-PRINCE","CV",0,"HT","Haiti","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000004","Accelerating Sustainability of Public Health Systems in India to Prevent, Detect, and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies","11/13/2020","Voluntary Health Services","CHENNAI","CV",0,"IN","India","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2GGH001992","PI HCMC partnering with CDC to strengthen essential Public Health Functions in southern region Vietnam","11/13/2020","Pasteur Institute of Ho Chi Minh","HO CHI MINH DISTRICT 3","CV",0,"VN","Viet-Nam","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001937","Reducing Nosocomial and Community-Acquired Tuberculosis by Strengthening the Capacity of the South African Department of Health to Improve Implementation of Infection Control and Waste Management","11/13/2020","Council for Scientific & Industrial Research","SILVERTON","CV",0,"ZA","South Africa, Union of","Research Institution, Foundation and Laboratory","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000006","Accelerating Sustainability of Public Health Systems in India to Prevent, Detect, and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies","11/12/2020","Share India","HYDERABAD, ANDHRA PRADESH","CV",0,"IN","India","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001978","Assisting the Ministry of Health and Social Services (MOHSS) in Providing Critical Human Resources for Health to Achieve HIV Epidemic Control in Namibia under PEPFAR.","11/12/2020","Potentia Namibia Recruitment consultancy","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002175","Assisting the Namibia Ministry of Health and Social Services to Achieve Epidemic Control under the President's Emergency Plan for AIDS Relief (PEPFAR)","11/6/2020","Ministry of Health & Social Services","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002094","Delivery High Quality HIV Prevention, Care and Treatment Services in Trinidad and Tobago under the President's Emergency Plan for AIDS Relief (PEPFAR).","11/5/2020","MOH, Trinidad and Tobago","PORT-OF-SPAIN","CV",0,"TT","Trinidad & Tobago","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002277","Strengthening Public health Systems and Services Delivery and Providing Technical Assistance to Improve Health Outcomes in Haiti under the President?s Emergency Plan for Aids Relief (PEPFAR) and other","10/30/2020","Ministry of Health Haiti","PORT AU PRINCE","CV",0,"HT","Haiti","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000065","Protecting and Improving Public Health in Senegal:Building and strengthening Public Health Impact,Systems,Capacity and Security","10/28/2020","MINISTERE DE LA SANTE ET DE L'ACTION SOCIAL SENEGAL","Dakar","CV",0,"SN","Senegal","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002084","CONDUCTING PUBLIC HEALTH RESEARCH IN THAILAND: TECHNICAL COLLABORATION WITH THE MINISTRY OF PUBLIC HEALTH","10/28/2020","MINISTRY PUBLIC HEALTH THAILAND","NONTHABURI","CV",0,"TH","Thailand","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002175","Assisting the Namibia Ministry of Health and Social Services to Achieve Epidemic Control under the President's Emergency Plan for AIDS Relief (PEPFAR)","10/28/2020","Ministry of Health & Social Services","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002098","Improving Comprehensive AIDS Response Enhanced for Sustainability (iCARES)","10/27/2020","AIDS PREVENTION INITIATIVE","ABUJA","CV",0,"NG","Nigeria","Community Action Organization","Foreign Non-Profit Organization"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002084","CONDUCTING PUBLIC HEALTH RESEARCH IN THAILAND: TECHNICAL COLLABORATION WITH THE MINISTRY OF PUBLIC HEALTH","10/27/2020","MINISTRY PUBLIC HEALTH THAILAND","NONTHABURI","CV",0,"TH","Thailand","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002203","This projects aims at implementing Technical and Science Support Services (TSSS) in the Republic of Rwanda under PEPFAR whereby HIV, Laboratory and strategic information activities will be implemented","10/26/2020","Treatment & Research AIDS Center","KIGALI","CV",0,"RW","Rwanda, Republic of","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000855","IP16-1605, Maintenance of Influenza Surveillance Capacity by National Health Authorities in Ukraine.","10/26/2020","Ukraine Institute of Epidemiology","KYYIV","CV",0,"UA","Ukraine","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000041","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect Diagnose and Improve Public Health in Ghana","10/26/2020","Center for Health Systems Str engthening","Kumasi","CV",0,"GH","Ghana","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000853","MAINTENANCE OF INFLUENZA SURVEILLANCE CAPACITY BY NATIONAL HEALTH AUTHORITIES OUTSIDE THE UNITED STATES","10/26/2020","L.SAKVARELIDZE NATL CTR FOR DISEASE CNTRL & PUBLIC HLTH","TBILISI","CV",0,"GE","Georgia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001632","BUILDING CAPACITY FOR A SUSTAINABLE, COUNTRY-LED RESPONSE TO THE HIV/AIDS EPIDEMIC IN GUYANA: A TECHNICAL ASSISTANCE SUPPORT MODEL TO THE GUYANA MINISTRY OF HEALTH (MOH) UNDER  PEPFAR","10/23/2020","Ministry of Health","GEORGETOWN","CV",0,"GY","Guyana","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2GGH002072","GH16-1719, titled Global Emergency Response and Recovery Partner Engagement: Expanding Efforts and Strategies to Improve Rapid Response to Public Health Emergencies Globally","10/22/2020","International Federation of Red Cross Red Crescent Soci","GENEVA","CV",0,"CH","Switzerland","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001632","BUILDING CAPACITY FOR A SUSTAINABLE, COUNTRY-LED RESPONSE TO THE HIV/AIDS EPIDEMIC IN GUYANA: A TECHNICAL ASSISTANCE SUPPORT MODEL TO THE GUYANA MINISTRY OF HEALTH (MOH) UNDER  PEPFAR","10/21/2020","Ministry of Health","GEORGETOWN","CV",0,"GY","Guyana","Health Department","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002175","Assisting the Namibia Ministry of Health and Social Services to Achieve Epidemic Control under the President's Emergency Plan for AIDS Relief (PEPFAR)","10/21/2020","Ministry of Health & Social Services","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002174","Strengthen Brazil's Response to HIV and Other Infectious Diseases through Prevention, Treatment, Care, Laboratory, Strategic Information, and Epidemiology and Surveillance Activities(PEPFAR)","10/20/2020","FIOTEC","RIO DE JANEIRO","CV",0,"BR","Brazil","Research Institution, Foundation and Laboratory","Foreign Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2GGH001885","Institut Pasteur de Cote dIvoire application to CDC RFA-GH15-1627 Building and Strengthening Public Health Laboratory Systems, Capacity and Security for Surveillance in Cote dIvoire","10/19/2020","Pasteur Institute of Ivory Coast","ABIDJAN","CV",0,"CI","Ivory Coast","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002177","GH19-1932 Building and Improving Laboratory Capacity and Quality in the Democratic Republic of Congo (DRC) under the President's Emergency Plan for AIDS Relief (PEPFAR)","10/19/2020","Global Health Systems Solutions","LIMBE","CV",0,"CM","Cameroon","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002177","GH19-1932 Building and Improving Laboratory Capacity and Quality in the Democratic Republic of Congo (DRC) under the President's Emergency Plan for AIDS Relief (PEPFAR)","10/16/2020","Global Health Systems Solutions","LIMBE","CV",0,"CM","Cameroon","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001643","GH15-1527:  Strengthening and Enhancing National HIV/AIDS Prevention, Diagnosis, Care,Treatment, Monitoring &Surveillance of Communicable & Non-communicable Diseases","10/16/2020","Ministry of Health Haiti","PORT AU PRINCE","CV",0,"HT","Haiti","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001663","Strengthening Clinical Services for Men Who Have Sex with Men, Transgender, and Bisexual Populations Living with HIV/STI in the Dominican Republic under PEPFAR","10/16/2020","Centro de Orientacion e Investigacion Integral","SANTO DOMINGO","CV",0,"DO","Dominican Republic","Other Social Services Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000891","Influenza surveillance","10/14/2020","MOH Moldova c/o Ctr Health Policies&Studies PAS Ctr","CHISINAU, REPUBLIC OF MOLDOVA","CV",0,"MD","Moldova","Health Department","Foreign Non-Profit Organization"
"CDC",93.084,"Prevention of Disease, Disability, and Death by Infectious Diseases","U01CK000564","Identification, Surveillance, and Control of Vector-Borne and Zoonotic Infectious Diseases in Uganda","10/13/2020","Uganda Virus Research Institute","ENTEBEE","CV",0,"UG","Uganda","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001632","BUILDING CAPACITY FOR A SUSTAINABLE, COUNTRY-LED RESPONSE TO THE HIV/AIDS EPIDEMIC IN GUYANA: A TECHNICAL ASSISTANCE SUPPORT MODEL TO THE GUYANA MINISTRY OF HEALTH (MOH) UNDER  PEPFAR","10/9/2020","Ministry of Health","GEORGETOWN","CV",0,"GY","Guyana","Health Department","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001919","Supporting the National School of Public Health (SPH) to Strengthen Human Resources for Health (HRH","10/9/2020","National School of Public Health","LUANDA","CV",0,"AO","Angola","Other Educational Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000896","Maintenance of Basic Surveillance System Implementation Activities and Response to Avian, Pandemic and Seasonal Influenza in Southeast European Countries","10/9/2020","SECID Foundation","TIRANA","CV",0,"AL","Albania","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001977","Advancing Community-based HIV Test, Linkage to and Retention in Care to Achieve Epidemic Control in Namibia","10/8/2020","D.A.P.P Namibia","OSHAKATI","CV",0,"NA","Namibia","Other Special Interest Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001979","Strengthening HIV/AIDS, STI and TB Laboratory Services in the Namibian Institute of Pathology (NIP)","10/8/2020","Namibia Institute of pathology","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001978","Assisting the Ministry of Health and Social Services (MOHSS) in Providing Critical Human Resources for Health to Achieve HIV Epidemic Control in Namibia under PEPFAR.","10/8/2020","Potentia Namibia Recruitment consultancy","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","Foreign Profit Organization"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002084","CONDUCTING PUBLIC HEALTH RESEARCH IN THAILAND: TECHNICAL COLLABORATION WITH THE MINISTRY OF PUBLIC HEALTH","10/7/2020","MINISTRY PUBLIC HEALTH THAILAND","NONTHABURI","CV",0,"TH","Thailand","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002095","Delivering High Quality HIV Prevention, Care and Treatment Services in Barbados under the President'","10/6/2020","Ministry of Health Barbados","BRIDGETOWN","CV",0,"BB","Barbados","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000006","Accelerating Sustainability of Public Health Systems in India to Prevent, Detect, and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies","10/6/2020","Share India","HYDERABAD, ANDHRA PRADESH","CV",0,"IN","India","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002040","Increasing the Capacity of the Lusaka Province Health Office (LPHO) to Provide Comprehensive and Sustainable HIV and AIDS Prevention, Care and Treatment Support in the Republic of Zambia","9/28/2020","Lusaka Provincial Health Office","LUSAKA","CV",0,"ZM","Zambia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001981","Programmatic Implementation and Technical Assistance (TA) for HIV/AIDS and Tuberculosis (TB) Prevention, Care, andTreatment Services throughout the Health System in South Africa under PEPFAR","9/25/2020","The Aurum Institute NPC","JOHANNESBURG","CV",0,"ZA","South Africa, Union of","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002131","Center of Excellence for Comprehensive Integrated HIV Care and Treatment Services in Lilongwe, Malawi under the President?s Emergency Plan for AIDS Relief (PEPFAR)","9/25/2020","The Lighthouse Trust","LILONGWE","CV",0,"MW","Malawi","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001620","GH15-1584, Swaziland:   ""Support for Health Systems Strengthening of Leadership, Governance and Quality Improvement in the MOH in the Kingdom of Swaziland""","9/25/2020","Swaziland Ministry of Health","MBABANE","CV",0,"CH","Switzerland","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002203","This projects aims at implementing Technical and Science Support Services (TSSS) in the Republic of Rwanda under PEPFAR whereby HIV, Laboratory and strategic information activities will be implemented","9/24/2020","Treatment & Research AIDS Center","KIGALI","CV",0,"RW","Rwanda, Republic of","Other Health Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH001620","GH15-1584, Swaziland:   ""Support for Health Systems Strengthening of Leadership, Governance and Quality Improvement in the MOH in the Kingdom of Swaziland""","9/24/2020","Swaziland Ministry of Health","MBABANE","CV",0,"CH","Switzerland","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000066","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health Globally","9/23/2020","National Institute of Health, Pakistan","ISLAMABAD","CV",0,"PK","Pakistan","Health Department","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000857","Maintenance of Influenza Surveillance Capacity by National Health Authorities Outside the United States. - 2016","9/23/2020","World Health Org DBA Ministry of Health, Afghanistan","KABUL","CV",0,"AF","Afghanistan","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001488","GH15-1504, Botswana:  BUILDING SUSTAINABLE CAPACITY FOR HEALTHCARE WORKERS TO UTILIZE HEALTH INFORMATION SYSTEMS AND HEALTH INFORMATION FOR IMPROVED HEALTH OUTCOMES, PROGRAM AREA C: INFORMATICS","9/22/2020","Botswana Harvard AIDS Institute","GABORONE","CV",0,"BW","Botswana","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001979","Strengthening HIV/AIDS, STI and TB Laboratory Services in the Namibian Institute of Pathology (NIP)","9/21/2020","Namibia Institute of pathology","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.067,"Global AIDS","NU2GGH002095","Delivering High Quality HIV Prevention, Care and Treatment Services in Barbados under the President'","9/18/2020","Ministry of Health Barbados","BRIDGETOWN","CV",0,"BB","Barbados","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001617","GH15-1600, Zambia: Strengthening the Zambia Ministry of Health Capacity to Provide Leadership to the National HIV/AIDS Response through Coordination, Policy Development, Mentorship and Training","9/18/2020","MINISTRY OF HEALTH","LUSAKA","CV",0,"ZM","Zambia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001978","Assisting the Ministry of Health and Social Services (MOHSS) in Providing Critical Human Resources for Health to Achieve HIV Epidemic Control in Namibia under PEPFAR.","9/18/2020","Potentia Namibia Recruitment consultancy","WINDHOEK","CV",0,"NA","Namibia","Other Special Interest Organization","Foreign Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001598","Improve human resource for health capacity, strengthen strategic information systems, enhance laboratory services to meet HIV/AIDS treatment","9/17/2020","Lesotho Ministry of Health & Social Welfare","MASERU","CV",0,"LS","Lesotho","Health Department","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001977","Advancing Community-based HIV Test, Linkage to and Retention in Care to Achieve Epidemic Control in Namibia","9/17/2020","D.A.P.P Namibia","OSHAKATI","CV",0,"NA","Namibia","Other Special Interest Organization","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH002009","Masaka Region Comprehensive HIV Program for Accelerated Epidemic Control","9/16/2020","Rakai Health Science Progrgam","KALISIZO","CV",0,"UG","Uganda","Environmental Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.326,"Strengthening Public Health through Surveillance, Epidemiologic Research, Disease Detection and Prevention","U01GH002290","Malaria Operations Research to Improve Malaria Control and Reduce Morbidity and Mortality in Western Kenya","9/16/2020","LIVERPOOL SCHOOL OF TROPICAL MEDICINE","LIVERPOOL, UK","CV",1960000,"GB","United Kingdom","Junior College, College & University","Foreign Non-Profit Organization"
"CDC",93.067,"Global AIDS","NU2GGH001643","GH15-1527:  Strengthening and Enhancing National HIV/AIDS Prevention, Diagnosis, Care,Treatment, Monitoring &Surveillance of Communicable & Non-communicable Diseases","9/16/2020","Ministry of Health Haiti","PORT AU PRINCE","CV",0,"HT","Haiti","Other Special Interest Organization","International ( U.S. & Foreign OR Two/More Foreign Organizations )"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU2HGH000077","Global Health Security Partnerships: Expanding and Improving Public Health Laboratory Strategies and Systems","9/15/2020","African Society for Laboratory Medicine","ADDIS ABABA","CV",1865024,"ET","Ethiopia","Other Health Organization","Foreign Non-Profit Organization"
"CDC",93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security","NU51IP000894","The proposal of Paraguay points to component 2 ""Improve the implementation of the Influenza surveillance networks and response to avian, pandemic and seasonal influenza?","9/15/2020","ALTERVIDA FUDICIARY FOR MINISTRY OF PUBLIC HLTH PARAGUA","ASUNCION","CV",349571,"PY","Paraguay","Health Department","Foreign Non-Profit Organization"
