Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
SOUTHERN KENNEBEC CHILD DEVELOPMENT CORPORATION,183993393,FARMINGDALE,ME,04344,KENNEBEC,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$19,049,287"
COMMUNITY COUNSELING CENTER,105446327,PORTLAND,ME,041012006,CUMBERLAND,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,$0
Downeast Community Partners,119732162,ELLSWORTH,ME,046050648,HANCOCK,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$13,409,184"
ME ST HOUSING AUTHORITY,086877115,AUGUSTA,ME,04338,KENNEBEC,United States of America,Other Social Services Organization,State Government,"$267,059,698"
"COUNSELING SERVICES, INC",077469187,SACO,ME,040721828,YORK,United States of America,Community Action Organization,Non-Profit Private Non-Government Organizations,"-$1,590,143"
Pleasant Point Passamaquoddy Housing Authority,780856829,PERRY,ME,04667,WASHINGTON,United States of America,"Research Institution, Foundation and Laboratory",Non-Profit Public Non-Government Organizations,$426
Midcoast Maine Community Action,077464014,BATH,ME,045301515,SAGADAHOC,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$17,309,783"
AROOSTOOK COUNTY ACTION PROGRAM,086879194,PRESQUE ISLE,ME,047691116,AROOSTOOK,United States of America,Community Action Organization,Non-Profit Private Non-Government Organizations,"$23,600,110"
SENIORSPLUS,083183285,LEWISTON,ME,042405815,FRANKLIN,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$693,362"
FAMILY PLANNING ASSOCIATION OF MAINE,828831941,AUGUSTA,ME,043320587,KENNEBEC,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$8,812,463"
Central Maine Area Agency on Aging,196450548,AUGUSTA,ME,043382589,KENNEBEC,United States of America,Welfare Department,State Government,"$1,939,387"
Spurwink Services,086886116,PORTLAND,ME,04103,CUMBERLAND,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$2,000,000"
PENOBSCOT INDIAN NATION,037717592,OLD TOWN,ME,04468,PENOBSCOT,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$43,540,042"
Eastern Area Agency On Aging,101191773,BREWER,ME,044121519,PENOBSCOT,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$500,000"
"Rumford Group Homes, Inc.",603062365,RUMFORD,ME,042761846,OXFORD,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$682,176"
Pleasant Point Indian Reservation,078925505,PERRY,ME,046670343,WASHINGTON,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$2,068,175"
Pleasant Point Indian Reservation,093633675,PERRY,ME,046670343,WASHINGTON,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$24,615,019"
Pleasant Point Indian Reservation,093639675,PERRY,ME,046670343,WASHINGTON,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","-$1,000"
PASSAMAQUODDY TRIBE (INDIAN TOWNSHIP),083187807,PRINCETON,ME,04668,WASHINGTON,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$27,043,928"
PASSAMAQUODDY TRIBE (INDIAN TOWNSHIP),083187807,PRINCETON,ME,04668,WASHINGTON,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$773,557"
INDIAN TOWNSHIP TRIBAL GOVERNMENT,083187807,PRINCETON,ME,046680301,WASHINGTON,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$215,520"
SACOPEE VALLEY HEALTH CENTER,109391284,PORTER,ME,04068,OXFORD,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$12,273,807"
"COASTAL ENTERPRISES, INC",097742910,WISCASSET,ME,045780268,LINCOLN,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$4,906,395"
DISABILITY RIGHTS CENTER OF MAINE,806344248,AUGUSTA,ME,043382007,KENNEBEC,United States of America,Rehabilitation Organization ( Other Than Criminal ),Non-Profit Private Non-Government Organizations,"$6,224,002"
"EASTPORT HEALTH CARE, INC",109395053,EASTPORT,ME,046311397,WASHINGTON,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$8,629,915"
Maine Coalition to End Domestic Violence,015984594,AUGUSTA,ME,04330,KENNEBEC,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$1,657,391"
"NEW BEGINNINGS, INC",194538534,LEWISTON,ME,04240,ANDROSCOGGIN,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$3,382,268"
SOUTHERN MAINE AREA AGENCY ON AGING,083184077,SCARBOROUGH,ME,04074,CUMBERLAND,United States of America,Other Social Services Organization,City Government,"$478,779"
NATIONAL RURAL HEALTH ASSOCIATION,603802034,KANSAS CITY,MO,64111,JACKSON,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$12,127,652"
"Alpha One, Center for Independent Living",161860275,SOUTH PORTLAND,ME,04106,CUMBERLAND,United States of America,Nursing Home OR Other Domiciliary Care Facility,Non-Profit Private Non-Government Organizations,"$6,635,129"
HOULTON BAND OF MALISEET INDIANS,118090216,HOULTON,ME,04730,AROOSTOOK,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$18,196,060"
"Pines Health Services, Inc.",035618169,CARIBOU,ME,047363807,AROOSTOOK,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$16,979,415"
"AROOSTOCK MICMAC COUNCIL, INC",930156138,PRESQUE ISLE,ME,04769,AROOSTOOK,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$1,989,206"
"Eastern Maine Health Care, Inst For Medical Improvement",071735682,BANGOR,ME,04402,PENOBSCOT,United States of America,Welfare Department,State Government,"$686,357"
CENTRAL MAINE COMMUNITY HEALTH CORPORATION,108156498,LEWISTON,ME,04240,ANDROSCOGGIN,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,"$901,094"
NAMI Maine,602098212,AUGUSTA,ME,043304701,KENNEBEC,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$368,887"
HARRINGTON FAMILY HEALTH CENTER,177215704,HARRINGTON,ME,04643,WASHINGTON,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$7,480,404"
Community Clinical Services,143872880,LEWISTON,ME,042407415,ANDROSCOGGIN,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$324,990"
"MAINE MOBILE HEALTH PROGRAM, INC",155503147,AUGUSTA,ME,04332,KENNEBEC,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$9,285,632"
"PREBLE STREET RESOURCE CENTER, INC",780081485,PORTLAND,ME,041012911,CUMBERLAND,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$1,663,478"
"COMMUNITY CONCEPTS, INC",086887056,SOUTH PARIS,ME,04281,OXFORD,United States of America,Community Action Organization,Non-Profit Private Non-Government Organizations,"$32,398,326"
"FHC, INC",108179458,BOWDOIN,ME,04287,SAGADAHOC,United States of America,"Research Institution, Foundation and Laboratory",Private Profit ( Small Business ) Organizations,"$1,012,323"
MaineHealth,858582372,PORTLAND,ME,04101,CUMBERLAND,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$2,378,669"
Down East AIDS Network,801509688,ELLSWORTH,ME,04605,HANCOCK,United States of America,Community Action Organization,Non-Profit Public Non-Government Organizations,"$300,000"
FISH RIVER RURAL HEALTH,622549640,EAGLE LAKE,ME,047390309,AROOSTOOK,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$14,155,396"
Maine Hospice Council Inc,835915224,AUGUSTA,ME,04338,KENNEBEC,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,$0
ST. CROIX REGIONAL FAMILY HEALTH CENTER,797413499,PRINCETON,ME,046680437,WASHINGTON,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$9,273,325"
AROOSTOOK BAND OF MICMACS,930156138,PRESQUE ISLE,ME,04769,AROOSTOOK,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$1,048,806"
AROOSTOCK BAND OF MICMAC INDIANS,930156138,PRESQUE ISLE,ME,04769,AROOSTOOK,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$8,365,240"
AROOSTOOK MICMAC COUNCIL,930156138,PRESQUE ISLE,ME,047692027,,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$416,696"
"Crossroads for Women, Inc.",103403478,PORTLAND,ME,041014157,CUMBERLAND,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,$0
PUBLIC HEALTH RESEARCH INSTITUTE,969942171,PORTLAND,ME,04101,CUMBERLAND,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"-$2,360"
Families and Children Together,009424396,BANGOR,ME,044016573,PENOBSCOT,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$1,444,113"
ME CHILDREN'S TRUST,112223268,AUGUSTA,ME,043305209,KENNEBEC,United States of America,Other Social Services Organization,State Government,"$1,526,919"
SHAW HOUSE,927356907,BANGOR,ME,04401,PENOBSCOT,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$1,014,213"
"Amistad, Inc.",956801641,PORTLAND,ME,04104,CUMBERLAND,United States of America,Other Social Services Organization,Non-Profit Public Non-Government Organizations,"$568,581"
"Penobscot Community Health Center, Inc.",034744040,BANGOR,ME,044018601,PENOBSCOT,United States of America,Welfare Department,State Government,"$42,735,353"
Maine Behavioral Healthcare,105446327,WESTBROOK,ME,04092,CUMBERLAND,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$2,641,157"
Eastern Maine Healthcare Systems,108180597,BREWER,ME,044121005,PENOBSCOT,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,"$3,470,139"
Cary Medical Center,077461275,CARIBOU,ME,047363567,AROOSTOOK,United States of America,Other Special Interest Organization,State Government,"$2,241,066"
SEBASTICOOK FAMILY DOCTORS,141048368,DETROIT,ME,049293227,SOMERSET,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$13,270,071"
National Nursing Centers Consortium,135033368,PHILADELPHIA,PA,191025021,PHILADELPHIA,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$4,887,544"
"ASIAN HUMAN SERVICES FAMILY HEALTH CENTER, INC",135942774,CHICAGO,IL,606593803,COOK,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$21,016,087"
TRANSCENDENT INTERNATIONAL LLC,111850900,NEW YORK,NY,100072068,NEW YORK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$7,176,039"
DIAGNOSTICS FOR THE REAL WORLD LIMITED,141057898,SAN MATEO,CA,944021261,SAN MATEO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$6,637,379"
BIOMARCK PHARMACEUTICALS  LTD,153401174,RALEIGH,NC,27609,WAKE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,197,556"
"COMMUNITY HEALTH NETWORK, INC.",138328609,OAKDALE,TN,37829,ROANE,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"-$18,894"
SIGNUM BIOSCIENCES INC,144196354,MONMOUTH JUNCTION,NJ,08852,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,964,464"
CHLAMYDIA BASIC RESEARCH SOCIETY,145856675,LITTLE ROCK,AR,722057101,PULASKI,United States of America,"Research Institution, Foundation and Laboratory",Private Profit ( Small Business ) Organizations,"$23,000"
PROVID PHARMACEUTICALS INC,031614444,NEW BRUNSWICK,NJ,089023360,MIDDLESEX,United States of America,Other Health Organization,Private Profit ( Small Business ) Organizations,$0
"Embrace Families Community Based Care, Inc.",149388816,ORLANDO,FL,328173100,ORANGE,United States of America,Welfare Department,State Government,"$5,110,000"
IL  ST  DEPT OF PUBLIC HEALTH,065232498,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$1,214,197"
IL  ST  DEPT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$890,654,603"
NORTHEAST NEBRASKA PUBLIC HEALTH DEPARTMENT,142555486,WAYNE,NE,687871975,WAYNE,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$400,000"
"Head Start of Eastern Orange County, Inc.",146484543,NEWBURGH,NY,125503546,ORANGE,United States of America,Community Action Organization,Non-Profit Private Non-Government Organizations,"$14,292,376"
"National Institute for Children`s Health Quality, Inc",119539497,BOSTON,MA,021385815,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$23,626,859"
"Health360, Inc",606216377,WATERBURY,CT,06702,NEW HAVEN,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$747,582"
Pennsylvania eHealth Partnership Authority,078856537,HARRISBURG,PA,17120,DAUPHIN,United States of America,Welfare Department,State Government,"-$71,160"
Family Health Center of Southern Oklahoma,155800571,TISHOMINGO,OK,734603265,JOHNSTON,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$16,138,993"
TECH ASSISTANCE INSTITUTE FOR INTELLECTUAL DISABILITY,148635316,DEXTER,OR,97431,LANE,United States of America,"Research Institution, Foundation and Laboratory",Private Profit ( Small Business ) Organizations,$0
ALVEOLI CORPORATION,122163475,MCMURRAY,PA,15317,WASHINGTON,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,309,033"
"INTERSECTIONS, INC.",854993214,PAGO PAGO,AS,96799,,USA Related Territories,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,"$3,617,641"
PITTSBURGH REGIONAL HEALTH INITIATIVE,194296153,PITTSBURGH,PA,15222,ALLEGHENY,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,"-$380,234"
"GENNEXT TECHNOLOGIES, INC.",610426038,MONTARA,CA,94037,SAN MATEO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,768,695"
VIGOROUS MIND INC,802002464,NEWTON,MA,024592615,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$438,844"
LEUKOSIGHT INC,616931734,COLLEGE PARK,MD,20742,PRINCE GEORGE'S,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$224,415"
Somali-American United Council of Arizona,828458807,PHOENIX,AZ,850167944,MARICOPA,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$400,000"
NEXOGEN INC,830316423,SAN DIEGO,CA,92129,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,201,885"
"GENESIS HEALTHCARE, INC",830189309,COLUMBIA,SC,292036901,RICHLAND,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$6,597,111"
Jane Pauley Community Health Center,833202281,INDIANAPOLIS,IN,462191501,MARION,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$19,270,000"
Horizon Outreach,963417519,OAK RIDGE N,TX,77386,MONTGOMERY,United States of America,Other Social Services Organization,Non-Profit Private Non-Government Organizations,"$6,309,431"
PRIMORIGEN BIOSCIENCES INC,782932177,MADISON,WI,53719,DANE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$409,836"
GLYCOSCIENTIFIC LLC,829734347,ATHENS,GA,30602,CLARKE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,526,629"
KOESTER PERFORMANCE RESEARCH,961750874,HOLLAND,MI,49424,OTTAWA,United States of America,"Research Institution, Foundation and Laboratory",Private Profit ( Small Business ) Organizations,"$990,576"
"ME ST BUREAU OF ACCOUNTS & CONTROL, STATE PLNG OFFICE",809045263,AUGUSTA,ME,04333,KENNEBEC,United States of America,Planning & Administrative Organizations,State Government,"$499,894"
"ME ST BUREAU OF ACCOUNTS & CONTROL, STATE PLNG OFFICE",809045594,AUGUSTA,ME,04333,KENNEBEC,United States of America,Planning & Administrative Organizations,State Government,$0
Maine St. Department of Health and Human Services,809045594,AUGUSTA,ME,043330011,KENNEBEC,United States of America,Welfare Department,State Government,"$13,461,680,478"
ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,809045594,AUGUSTA,ME,04333,KENNEBEC,United States of America,Health Department,State Government,"$16,610,021"
OFFICE OF SUBSTANCE ABUSE,809045594,AUGUSTA,ME,04333,KENNEBEC,United States of America,Rehabilitation Organization ( Other Than Criminal ),State Government,"$42,655,895"
ME ST DEPARTMENT OF EDUCATION & CULTURAL SERVICES,809045545,AUGUSTA,ME,04333,KENNEBEC,United States of America,Educational Department,State Government,"$8,449,709"
ME ST DEPARTMENT OF HUMAN SERVICES,809045594,AUGUSTA,ME,04333,KENNEBEC,United States of America,Welfare Department,State Government,"$46,907,925"
"ME ST DEPARTMENT OF HUMAN SERVICES, HLTH & MEDICAL SVCS",809045594,AUGUSTA,ME,04333,KENNEBEC,United States of America,Welfare Department,State Government,"$14,074,346"
ME ST DEPARTMENT OF HEALTH & WELFARE,809045594,AUGUSTA,ME,04330,KENNEBEC,United States of America,Health Department,State Government,$0
"ATTORNEY GENERAL, MAINE DEPARTMENT OF",809175169,AUGUSTA,ME,043330006,KENNEBEC,United States of America,Law Enforcement Agency ( Including Criminal Rehabilitation ),State Government,"$5,758,933"
"MAINE DEPT OF HUMAN SERVICES, DIV OF FINANCIAL SERVICES",809045594,AUGUSTA,ME,043330011,KENNEBEC,United States of America,Other Social Services Organization,State Government,"$28,554,774"
"ME ST ATTORNEY GENERAL`S OFFICE, CONSUMER/ANTITRUST DIV",809175169,AUGUSTA,ME,04333,KENNEBEC,United States of America,Law Enforcement Agency ( Including Criminal Rehabilitation ),State Government,-$25
ME ST DEPARTMENT OF HUMAN RESOURCES,809045594,AUGUSTA,ME,04333,KENNEBEC,United States of America,Welfare Department,State Government,"$8,588,387"
"Health And Human Services, Maine Department Of",809045594,AUGUSTA,ME,043330011,KENNEBEC,United States of America,Welfare Department,State Government,"$9,907,972"
ME ST DEPARTMENT OF CORRECTIONS,616819777,AUGUSTA,ME,04333,KENNEBEC,United States of America,Law Enforcement Agency ( Including Criminal Rehabilitation ),State Government,"$998,233"
JUDICIARY COURTS OF THE STATE OF MAINE,809045594,PORTLAND,ME,041124820,KENNEBEC,United States of America,Other Social Services Organization,State Government,"$2,106,830"
Maine Department of Labor,607087632,AUGUSTA,ME,04333,KENNEBEC,United States of America,Planning & Administrative Organizations,State Government,"$1,776,084"
MAINE HEALTH DATA ORGANIZATION,143316516,AUGUSTA,ME,043330102,KENNEBEC,United States of America,Other Health Organization,State Government,"-$1,802"
"ME.ST.DEPT.OF PUBLIC SAFETY, ME BOARD OF EMS",809045958,AUGUSTA,ME,04330,KENNEBEC,United States of America,Welfare Department,State Government,"$321,913"
State of Maine Governors Office of Health Policy & Fin,057979312,AUGUSTA,ME,04333,KENNEBEC,United States of America,Welfare Department,State Government,$0
"Health And Human Services, Maine Department Of",809045214,AUGUSTA,ME,043330011,KENNEBEC,United States of America,Other Social Services Organization,State Government,"$472,622"
"Health And Human Services, Maine Department Of",809045594,AUGUSTA,ME,043330011,KENNEBEC,United States of America,Other Social Services Organization,State Government,"$2,660,189"
